FAMILIA,RESISTENCIA,TRAT.SUPERFICIAL,DIA,MES,ANO,PECA_EMPENADA/TORTA,MISTURA,OXIDACAO,TRAT.SUPERFICIAL.1,TRINCA,SEM_PROJECAO,SEM_SERRILHA,CABECA_DIMENSIONAL_MAIOR_QUE_ESPEC,CABECA_DIMENSIONAL_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_CABECA,REBARBA_CABECA,SEM_CHANFRO,CHANFRO_COMPRIMENTO_MAIOR_QUE_ESPEC,CHANFRO_COMPRIMENTO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_CHANFRO,REBARBA_CHANFRO,CHAVE_ARREDONDADA,EXCESSO_TRATAMENTO_SUPERFICIAL_CHAVE,CHAVE_DIMENSIONAL_MAIOR_QUE_ESPEC,CHAVE_DIMENSIONAL_MENOR_ESPEC,DEFORMACAO_(BATIDA)_CHAVE,REBARBA_CHAVE,FLANGE_DIAMETRO_MAIOR_ESPEC,FLANGE_DIAMETRO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_FLANGE,FALTA_MATERIAL_FLANGE,REBARBA_FLANGE,DEFORMACAO_(BATIDA)_CORPO,FALTA_MATERIAL_CORPO,SEM_PONTA,PONTA_COMPRIMENTO_MAIOR_QUE_ESPEC,PONTA_COMPRIMENTO_MENOR_QUE_ESPEC,DEFORMACAO_(BATIDA)_PONTA,REBARBA_PONTA,SEM_RECARTILHO,RECARTILHO_CURTO,RECARTILHO_COMPRIDO,DEFORMACAO_(BATIDA)_RECARTILHO,EXCESSO_TRATAMENTO_SUPERFICIAL_ROSCA,SEM_ROSCA,FALTA_DE_FILETES_DE_ROSCA,SOBRA_DE_FILETES_DE_ROSCA,ROSCA_SOBRE_O_CORPO,ROSCA_INCLINADA,DEFORMACAO_(BATIDA)_ROSCA,OBSTRUIDA/FECHADA,FALTA_DE_MATERIAL(ARRUELA),ARRUELA_MAIOR_QUE_A_ESPECIFICACAO,ARRUELA_MENOR_QUE_A_ESPECIFICACAO,SEM_ARRUELA,QTD._MENOR_QUE_O_ESPECIFICADO,QTD._MAIOR_QUE_O_ESPECIFICADO,ARRUELA_TROCADA,ARRUELA_DEFORMADA/BATIDA,TOTAL_DEFEITOS,USINA,QTD_SELECIONADA,MAQUINA,BITOLA,COMPRIMENTO,FAMILIA_ROT,RESISTENCIA_ROT,TRAT_SUPERFICIAL_ROT,USINA_ROT,MATERIA_PRIMA,MATERIA_PRIMA_ROT,MAQUINA_ROT,LOTE_COM_PROBLEMA,TIPO_DEFEITO
PARAF FLANG,8.8,ZA CR3,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,10654,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI TRANSP,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,11555,CELULA 45 SP28,6.0,32.0,2,10,12,3,1022,4,6,0,SEM_DEFEITO
PARAF FLANG,10.9,FOSF,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,5006,CELULA32 SP37CR,10.0,35.0,7,2,4,3,5137,10,41,0,SEM_DEFEITO
PARAF FLANG,0R,FOSF,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,12500,CELULA 51 SP360L,9.0,96.0,7,1,4,1,PL30,18,8,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,GEOMET,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,2250,CELULA27 BF13B3S,6.0,22.0,2,10,5,1,PL30,18,36,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,GEOMET,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,2250,CELULA27 BF13B3S,6.0,22.0,2,10,5,1,PL30,18,36,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,12280,CELULA35 SP27,8.0,25.0,7,10,8,2,10B33,7,43,0,SEM_DEFEITO
PARAF FLANG,0R,FOSF,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,6608,CELULA 51 SP360L,9.0,96.0,7,1,4,1,PL30,18,8,0,SEM_DEFEITO
PARAF ALLEN,10.9,ZP CR3,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,6140,CELULA38 HBF-408,6.0,16.0,3,2,13,1,PL30,18,45,0,SEM_DEFEITO
REBITE,5.8,ZNNI PRETO,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,11230,CELULA 44 SP48,14.3,36.0,24,8,11,3,1015,3,5,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,GEOMET,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,1555,CELULA26 SP27,8.0,25.0,2,10,5,2,10B33,7,35,0,SEM_DEFEITO
PARAF FLANG,10.9,POLIDO,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,7356,CELULA19 BF13B-4,8.0,16.0,7,2,7,2,10B33,7,28,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI TRANSP,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,13700,CELULA 45 SP28,6.0,32.0,2,10,12,3,1022,4,6,0,SEM_DEFEITO
PARAF FLANG,8.8,ZNNI PRETO,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,7740,CELULA 42 SP38,8.0,100.0,7,10,11,3,1022,4,3,0,SEM_DEFEITO
PARAF FLANG,10.9,FOSF,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,700,CELULA23 BF19-4S,9.52,66.5,7,2,4,3,DIN41,11,32,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,GEOMET,7,1,2025,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,BELGO,3312,CELULA38 HBF-408,6.0,30.0,2,2,5,1,PL30,18,45,1,TRINCA
PARAF FLANG,8.8,GEOMET,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,3000,CELULA 45 SP28,6.0,30.0,7,10,5,2,10B33,7,6,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,7,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,3255,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,GEOMET,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,647,CELULA26 SP27,8.0,25.0,2,10,5,2,10B33,7,35,0,SEM_DEFEITO
PARAF ALLEN,10.9,FOSF,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,3263,CELULA18BF13B351,8.0,50.0,3,2,4,3,1030,5,27,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,GEOMET,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,2928,CELULA38 HBF-408,6.0,30.0,2,2,5,1,PL30,18,45,0,SEM_DEFEITO
PARAF FLANG,8.8,ZNNI PRETO,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,4867,CELULA 42 SP38,8.0,100.0,7,10,11,3,1022,4,3,0,SEM_DEFEITO
PARAF FLANG,10.9,FOSF,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,5000,CELULA23 BF19-4S,9.52,66.5,7,2,4,3,DIN41,11,32,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,20000,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
PARAF FLANG,10.9,FOSF,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,8000,CELULA23 BF19-4S,9.52,66.5,7,2,4,3,DIN41,11,32,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,1500,CELULA 42 SP38,8.0,71.0,2,2,12,3,1030,5,3,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,15900,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,20000,CELULA 45 SP28,6.0,30.0,7,10,5,2,10B33,7,6,0,SEM_DEFEITO
PARAF FLANG,10.9,FOSF,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,9200,CELULA23 BF19-4S,9.52,66.5,7,2,4,3,DIN41,11,32,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI TRANSP,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,13600,CELULA 45 SP28,6.0,32.0,2,10,12,3,1022,4,6,0,SEM_DEFEITO
PARAF ALLEN,8.8,GEOMET,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,818,CELULA25 BF13B4S,10.0,25.0,3,10,5,1,PL30,18,34,0,SEM_DEFEITO
PARAF FLANG,10.9,FOSF,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,1058,CELULA23 BF19-4S,9.52,66.5,7,2,4,3,DIN41,11,32,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,4100,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
PARAF FLANG,8.8,ZNNI PRETO,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,9445,CELULA 42 SP38,8.0,100.0,7,10,11,3,1022,4,3,0,SEM_DEFEITO
PARAF SEXT,8.8,ZINC CLEAR,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,4501,CELULA06 COLH-Ra,6.0,12.0,15,10,10,1,PL30,18,15,0,SEM_DEFEITO
PARAF SEXT,10.9,ZINC CLEAR,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,3033,CELULA10 CH2-LA,6.0,40.0,15,2,10,1,PL30,18,19,0,SEM_DEFEITO
PARAF 6 LOBE INT,8.8,ZNNI TRANSP,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,7660,CELULA 45 SP28,6.0,32.0,2,10,12,3,1022,4,6,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,15761,CELULA 42 SP38,8.0,71.0,2,2,12,3,1030,5,3,0,SEM_DEFEITO
PARAF SEXT,10.9,FOSF,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,10670,CELULA32 SP37CR,10.0,40.0,15,2,4,3,5137,10,41,0,SEM_DEFEITO
PARAF FN CZ CIL LEN,4.8,GEOMET,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,20100,CELULA11 CH2-LA,5.0,25.0,9,6,5,3,1030,5,20,0,SEM_DEFEITO
PARAF FN CZ CIL LEN,4.8,GEOMET,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,19851,CELULA11 CH2-LA,5.0,25.0,9,6,5,3,1030,5,20,0,SEM_DEFEITO
PARAF 6 LOBE INT,10.9,ZNNI TRANSP,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,18250,CELULA 42 SP38,8.0,71.0,2,2,12,3,1030,5,3,0,SEM_DEFEITO
PARAF SEXT,8.8,ZNNI PRETO,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,15138,CELULA16 ZH30200,10.0,120.0,15,10,11,3,5137,10,25,0,SEM_DEFEITO
PARAF FLANG,10.9,FOSF,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BELGO,22316,CELULA 51 SP360L,8.0,65.0,7,2,4,1,PL30,18,8,0,SEM_DEFEITO
PARAF SEXT,10.9,ZB CR3,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,4000,CELULA18BF13B351,8.0,83.0,15,2,9,3,5137,10,27,0,SEM_DEFEITO
PCM,8.8,ZB CR3,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GERDAU SP,10932,CELULA09 CH4,10.0,69.5,17,10,9,3,5137,10,18,0,SEM_DEFEITO
PARAF FLANG,8.8,ZA CR3,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,20000,CELULA29 SP37,11.11,20.0,7,10,8,2,10B33,7,38,0,SEM_DEFEITO
PARAF FLANG,8.8,GEOMET,8,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUFERCO,25700,CELULA 45 SP28,6.0,30.0,7,10,5,2,10B33,7,6,0,SEM_DEFEITO
